AGE,SEX,YEAR.MEASURED,GLASSES,HANDED,RANK,HEIGHT,WEIGHT
20,M,87,GLASSES,2,1,1.841,76.9
20,M,87,GLASSES,1,1,1.748,84.4
20,M,87,NEITHER,2,1,1.647,72
20,M,87,NEITHER,1,1,1.761,83
22,M,87,NEITHER,1,1,1.749,68.4
29,M,87,NEITHER,1,2,1.739,92.8
20,M,87,NEITHER,1,1,1.824,77.4
20,M,87,GLASSES,2,1,1.837,98.5
21,M,87,GLASSES,1,1,1.837,86.4
21,M,87,NEITHER,1,1,1.835,67.4
26,M,87,NEITHER,1,2,1.756,90.3
26,M,87,NEITHER,1,2,1.887,92
27,M,87,GLASSES,1,2,1.817,92.4
26,M,87,NEITHER,1,2,1.72,71.1
24,M,87,CONTACTS,1,1,1.836,91.1
22,M,87,GLASSES,1,1,1.617,65.6
22,M,87,NEITHER,1,1,1.67,56.5
22,M,87,NEITHER,1,1,1.718,79.3
23,M,87,NEITHER,1,NA,1.849,80
21,M,87,NEITHER,1,1,1.85,87.6
26,M,87,NEITHER,2,4,1.851,96.5
25,M,87,GLASSES,1,2,1.809,89.2
25,M,87,NEITHER,1,1,1.735,87.8
23,M,87,NEITHER,1,1,1.778,76.7
22,M,87,GLASSES,1,1,1.708,78.4
28,M,87,NEITHER,1,NA,1.872,103.7
25,M,87,NEITHER,1,1,1.713,81.1
22,M,87,GLASSES,2,1,1.774,75.5
25,M,87,NEITHER,1,2,1.718,82.9
26,M,87,NEITHER,2,2,1.74,95.6
21,M,87,NEITHER,1,2,1.755,81.5
24,M,87,NEITHER,1,2,1.732,71.7
22,M,87,NEITHER,1,2,1.685,65.9
21,M,87,NEITHER,1,1,1.764,71.5
20,M,87,NEITHER,1,1,1.672,72.3
20,M,87,NEITHER,2,1,1.726,90.2
23,M,87,NEITHER,2,2,1.878,84.4
24,M,87,NEITHER,2,3,1.738,74
25,M,87,NEITHER,1,3,1.743,83.6
26,M,87,NEITHER,1,4,1.869,84.2
24,M,87,NEITHER,1,3,1.771,81.1
24,M,87,NEITHER,1,4,1.907,86.3
28,M,87,NEITHER,1,3,1.806,65.1
23,M,87,NEITHER,2,3,1.879,74.8
29,M,87,NEITHER,2,3,1.825,80
21,M,87,CONTACTS,1,1,1.789,88.9
21,M,87,NEITHER,1,2,1.799,71.1
28,M,87,BOTH,2,4,1.741,84.2
24,M,87,NEITHER,1,4,1.775,76.3
26,M,87,GLASSES,1,3,1.785,81.4
20,M,87,NEITHER,1,1,1.795,72
29,M,87,NEITHER,1,2,1.741,64.2
20,M,87,NEITHER,1,1,1.696,68.8
25,M,87,GLASSES,1,1,1.79,88.5
28,M,87,NEITHER,1,2,1.761,81.3
24,M,87,NEITHER,1,2,1.86,102.2
24,M,87,GLASSES,1,1,1.774,71.6
22,M,87,GLASSES,1,2,1.703,77.1
21,M,87,NEITHER,2,1,1.77,88.1
28,M,87,NEITHER,2,4,1.757,83
27,M,87,NEITHER,2,1,1.798,67.8
