treatment	height_cm
drought	0.3552229781096701
drought	1.3060533549442392
drought	5.5737773205681895
drought	6.182532201161058
drought	7.43998286337736
drought	3.7678173659699077
drought	1.0572584317724272
drought	6.502049033534236
drought	3.8438478131695875
drought	2.3522690911441164
drought	6.478745240606705
drought	7.6963321150349575
drought	4.3043652735696964
drought	1.0912308962843205
drought	4.275651992740592
drought	5.989589588865325
drought	2.644900830157423
drought	2.640174948607112
drought	4.794507330184679
drought	3.3690082963638996
control	5.893767752785092
control	3.8178009089505744
control	5.461944134643401
control	5.411742194860317
control	2.237904872895696
control	2.886854526551289
control	8.2347329363533035
control	6.906397032595675
control	4.63501352977269
control	5.526702686701534
control	9.612589339903263
control	9.327318590406215
control	6.971607004794565
control	6.272800379822426
control	4.710928034080687
control	6.616764926388818
control	6.292697742397613
control	2.896800166075249
control	4.014871299708084
control	7.8614066430856555
